Dam Name,NID ID,Owner Types,Primary Owner Type,Number of Associated Structures,Primary Purpose,Latitude,Longitude,State,Distance to Nearest City (Miles),State Regulated Dam,Federally Regulated Dam,Built Under the Authority of the Secretary of Agriculture,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),Drainage Area (Sq Miles),Max Discharge (Cubic Ft/Second),Spillway Type,Spillway Width (Ft),Inspection Frequency,Hazard Potential Classification,Condition Assessment,Inundation Maps Added to NID?
Buchanan Dam,TX00989,Local Government,Local Government,0,Irrigation,30.751351,-98.417912,Texas,20,Yes,No,No,Earth,Earth;Multi-Arch;Gravity,Concrete,Rock;Soil,146,146,146,146,Greater than 100 feet,10987,0,1937,1930-1939,1180000,1180000,992000,23060,50.06,247800,,2665.5,5,High,Satisfactory,No
Rockwall-Forney Dam,TX00837,Local Government,Local Government,0,Water Supply,32.801667,-96.506667,Texas,10,Yes,No,No,Earth,Earth,Earth,Soil,68,57,68,68,51-100 feet,12500,5700000,1969,1960-1969,575040,575040,452040,22745,1071,375000,Controlled,560,5,High,Satisfactory,No
Keystone Dam - Cleveland Levee,OK10309,Federal,Federal,0,Flood Risk Reduction,36.304363,-96.463931,Oklahoma,,No,Yes,,Gravity,Gravity;Earth,,,34,34,34,34,25-50 feet,12915,4389100,1964,1960-1969,1672613,1672613,505381,22420,74506,939000,Controlled,720,5,High,Not Available,Yes
Keystone Dam,OK10309,Federal,Federal,1,Flood Risk Reduction,36.14989089,-96.25297247,Oklahoma,,No,Yes,,Gravity,Gravity;Earth,Earth,Rock,121,116,121,121,Greater than 100 feet,4600,4389100,1964,1960-1969,1672613,1672613,505381,22420,74506,939000,Controlled,720,5,High,Not Available,Yes
Pathfinder Dam,WY01296,Federal,Federal,1,Hydroelectric,42.468,-106.8538,Wyoming,45,Yes,Yes,No,Masonry,Masonry;Arch,,,214,195,214,214,Greater than 100 feet,432,65700,1909,1900-1909,1016500,1016500,1016500,22014,10671.81,32449,Uncontrolled,770,4,High,Not Available,No
Norfork Dam,AR00159,Federal,Federal,0,Flood Risk Reduction,36.24957169,-92.23825713,Arkansas,,No,Yes,,Concrete,Concrete;Gravity,Concrete,Rock,216,206,248,248,Greater than 100 feet,2624,1500000,1944,1940-1949,1983000,1983000,31000,22000,1806,331000,Controlled,480,5,High,Not Available,Yes
Lavon Dam,TX00007,Federal,Federal,0,Flood Risk Reduction,33.03239063,-96.46857676,Texas,,No,Yes,,Earth,Earth,Earth,Rock;Soil,81,76,81,81,51-100 feet,19493,5990655,1952,1950-1959,1020500,1020500,456500,21400,770,357700,Controlled,480,5,High,Not Available,Yes
Lewis Smith                                                      ,AL01420,Public Utility,Public Utility,1,Hydroelectric,33.942138,-87.106498,Alabama,12,No,Yes,No,Rockfill,Rockfill,Earth,Rock,300,210,300,300,Greater than 100 feet,2200,5195000,1961,1960-1969,1670600,1670600,1390000,21200,944,317800,Uncontrolled,350,1,High,Satisfactory,No
Mississippi River Lock and Dam 8,WI00803,Federal,Federal,0,Navigation,43.5704016,-91.23149472,Wisconsin,6,No,Yes,,Concrete,Concrete;Earth,Earth,Soil,30,38,42,42,25-50 feet,18520,604700,1937,1930-1939,260000,260000,105200,20800,64770,274000,Controlled,2750,5,Significant,Not Available,N/A
Bonneville Locks and Dam,OR00001,Federal,Federal,0,Navigation,45.64426344,-121.9408572,Oregon,,No,Yes,,Gravity,Gravity,Concrete,Rock,56,50,197,197,Greater than 100 feet,2477,1168000,1938,1930-1939,537000,537000,277000,20600,240000,1600000,Controlled,1450,5,High,Not Available,Yes
Broken Bow Dam - Reregulation Dam,OK10307,Federal,Federal,0,Flood Risk Reduction,34.154447,-94.687439,Oklahoma,,No,Yes,,Gravity,Gravity;Earth,,,225,220,225,225,Greater than 100 feet,4026,5052480,1968,1960-1969,1598950,1598950,918070,20500,754,443000,Controlled,320,5,Low,Not Available,Yes
Broken Bow Dam,OK10307,Federal,Federal,1,Flood Risk Reduction,34.14616058,-94.68535924,Oklahoma,,No,Yes,,Gravity,Gravity;Earth,Earth,Rock;Soil,225,220,225,225,Greater than 100 feet,4026,5052480,1968,1960-1969,1598950,1598950,918070,20500,754,443000,Controlled,320,5,High,Not Available,Yes
Parker Dam,AZ10312,Federal,Federal,0,Hydroelectric,34.2966,-114.1392,Arizona,12,No,Yes,No,Concrete,Concrete;Arch,,,320,80,320,320,Greater than 100 feet,856,380000,1938,1930-1939,180000,180000,180000,20390,182700,314000,Controlled,250,4,High,Not Available,No
Wright Patman Dam,TX00021,Federal,Federal,0,Flood Risk Reduction,33.31279176,-94.16142485,Texas,,No,Yes,,Earth,Earth,Earth,Soil,106,101,106,106,Greater than 100 feet,18640,7370000,1954,1950-1959,6505000,6505000,145300,20300,3443,81000,Uncontrolled,200,5,High,Not Available,Yes
Seminoe Dam,WY01297,Federal,Federal,0,Hydroelectric,42.1559,-106.9086,Wyoming,64,Yes,Yes,No,Concrete,Concrete;Arch,,,295,206,295,295,Greater than 100 feet,530,210000,1938,1930-1939,1017279,1017279,1017279,20291,7158.7,48500,Controlled,42,4,High,Not Available,No
Monticello Dam,CA10170,Federal,Federal,0,Irrigation,38.5134,-122.1043,California,0,No,Yes,No,Concrete,Concrete;Arch,,,255,273,304,304,Greater than 100 feet,1023,326000,1957,1950-1959,1902086,1902086,1602278,20240,567.45,47300,Uncontrolled,67,4,High,Not Available,No
Conroe Dam,TX00097,Local Government,Local Government,0,Irrigation,30.356917,-95.564673,Texas,9,Yes,No,No,Earth,Earth,Earth,Soil,82,82,82,82,51-100 feet,11800,0,1973,1970-1979,706970,706970,416228,20118,444,247247,Controlled,200,5,High,Satisfactory,No
Fort Gibson Dam - Dike 10,OK10314,Federal,Federal,0,Flood Risk Reduction,35.97365026,-95.35812257,Oklahoma,,No,Yes,,Gravity,Gravity;Earth,Earth,,30,30,30,30,25-50 feet,8087,804600,1949,1940-1949,1134575,1134575,365200,19900,12494,986000,Controlled,1490,5,High,Not Available,No
Fort Gibson Dam,OK10314,Federal,Federal,9,Flood Risk Reduction,35.86965013,-95.23082715,Oklahoma,,No,Yes,,Gravity,Gravity;Earth,Earth,Rock,110,99,110,110,Greater than 100 feet,2990,804600,1949,1940-1949,1284400,1284400,365200,19900,12494,986000,Controlled,1490,5,High,Not Available,Yes
Fort Gibson Dam - Dike 8,OK10314,Federal,Federal,0,Flood Risk Reduction,35.90238988,-95.33179452,Oklahoma,,No,Yes,,Gravity,Gravity;Earth,Earth,,28,28,28,28,25-50 feet,1200,804600,1949,1940-1949,1090350,1090350,365200,19900,12494,986000,Controlled,1490,5,High,Not Available,No
Boysen Dam,WY01299,Federal,Federal,0,Flood Risk Reduction,43.4167,-108.1777,Wyoming,2,Yes,Yes,No,Earth,Earth,,,220,117,220,220,Greater than 100 feet,1143,1527000,1951,1950-1959,1473118,1473118,701510,19560,7704.04,35000,Controlled,70,4,High,Not Available,No
Cooper Dam,TX08012,Federal,Federal,0,Flood Risk Reduction,33.33187704,-95.62789835,Texas,,No,Yes,,Earth,Earth,Earth,Rock;Soil,79,74,95,95,51-100 feet,28072,9500000,1991,1990-1999,797300,797300,310800,19280,476,134700,Uncontrolled,700,5,High,Not Available,Yes
Simon Freese Dam,TX06386,Local Government,Local Government,0,Water Supply,31.500464,-99.667363,Texas,,Yes,No,No,Concrete,Concrete;Earth,Unlisted/Unknown;Unlisted/Unknown,Unlisted/Unknown,149,142,148,149,Greater than 100 feet,9950,24720500,1989,1980-1989,1235813,1235813,554340,19149,11500,1947001,,8300,5,High,Satisfactory,No
Garrison Dam - Snake Creek Embankment,ND00145,Federal,Federal,0,Other,47.600483,-101.26336,North Dakota,,No,Yes,No,Earth,Earth,Earth,Soil,85,67,95,95,51-100 feet,12900,0,1952,1950-1959,396000,396000,346419,19095,250,2440,None,7,5,Significant,Not Available,Yes
Wallace                                                          ,GA00854,Public Utility,Public Utility,2,Hydroelectric,33.3502,-83.1574,Georgia,26,No,Yes,No,Gravity,Gravity;Earth,Earth,Rock;Soil,120,95,120,120,Greater than 100 feet,2395,795507,1980,1980-1989,400000,400000,370000,19050,1830,316800,Controlled,258,1,High,Satisfactory,No
Navajo Dam,NM00120,Federal,Federal,0,Flood Risk Reduction,36.8015,-107.6117,New Mexico,25,No,Yes,No,Earth,Earth,,,402,365,402,402,Greater than 100 feet,3648,26840900,1962,1960-1969,1986600,1986600,1708600,19000,3206.07,34000,Uncontrolled,132,4,High,Not Available,No
Olmsted Locks and Dam,IL50745,Federal,Federal,0,Navigation,37.18342116,-89.0634482,Illinois,1,Yes,Yes,,Concrete,Concrete;Gravity,Concrete,,49,37,67,67,51-100 feet,3575,205000,2018,Since 2000,728000,728000,425000,19000,203000,,Controlled,650,5,Significant,Not Available,N/A
Mansfield Dam,TX01087,Local Government,Local Government,0,Flood Risk Reduction,30.392217,-97.907341,Texas,18,Yes,No,No,Earth,Earth;Rockfill;Gravity,Earth,Unlisted/Unknown,277,277,278,278,Greater than 100 feet,7089.39,33890000,1942,1940-1949,3223000,3223000,1953900,18929,38130,608000,,904,5,High,Satisfactory,No
Rend Dam,IL00117,Federal,Federal,0,Flood Risk Reduction,38.03732761,-88.96167853,Illinois,1,Yes,Yes,,Concrete,Concrete;Earth;Gravity,Earth,Rock;Soil,54,49,54,54,51-100 feet,10228,2278700,1971,1970-1979,607910,607910,184675,18900,488,87250,Uncontrolled,1235,5,High,Not Available,Yes
Ferrells Bridge Dam,TX00020,Federal,Federal,0,Flood Risk Reduction,32.7499904,-94.50439743,Texas,,No,Yes,,Earth,Earth,Earth,Soil,97,90,97,97,51-100 feet,10600,4000000,1958,1950-1959,1998740,1998740,254900,18700,850,79664,Uncontrolled,200,5,High,Not Available,Yes
Keowee                                                           ,SC00706,Public Utility,Public Utility,8,Hydroelectric,34.799574,-82.890001,South Carolina,11,No,Yes,No,Earth,Earth,Earth,Rock;Soil,170,170,170,170,Greater than 100 feet,3500,2043000,1971,1970-1979,955586,955586,99586,18372,439,26000,Controlled,176,1,High,Satisfactory,No
Yellowtail Dam,MT00576,Federal,Federal,1,,45.3068,-107.9581,Montana,2,No,Yes,No,Concrete,Concrete;Arch,,,491,494,525,525,Greater than 100 feet,1480,1546000,1966,1960-1969,1331725,1331725,1020573,17958,19627.35,92000,Controlled,50,4,High,Not Available,No
Mississippi River Lock and Dam 3,MN00595,Federal,Federal,0,Navigation,44.61104443,-92.60995224,Minnesota,4,No,Yes,,Concrete,Concrete;Earth,Earth,Soil,26,38,44,44,25-50 feet,4500,134000,1938,1930-1939,547000,547000,290000,17950,45170,230000,Controlled,320,5,Significant,Not Available,N/A
Trinity Dam,CA10196,Federal,Federal,0,Hydroelectric,40.8011,-122.7622,California,0,No,Yes,No,Earth,Earth,,,458,440,538,538,Greater than 100 feet,2450,29400000,1962,1960-1969,2760870,2760870,2447650,17722,692.41,22400,Uncontrolled,53,4,High,Not Available,No
Morris Sheppard Dam,TX03849,Local Government,Local Government,0,Irrigation,32.871565,-98.426523,Texas,,Yes,No,No,Buttress,Buttress,Concrete,Rock;Soil,187,187,189,189,Greater than 100 feet,2740,0,1941,1940-1949,1365000,1365000,750000,17700,14030,561748,,2120,5,High,Fair,No
Jamestown Dam,ND00151,Federal,Federal,0,Flood Risk Reduction,46.931,-98.7087,North Dakota,0.2,Yes,Yes,No,Earth,Earth,,,81,64,110,110,Greater than 100 feet,1418,963000,1954,1950-1959,379636,379636,35535,17427,1573.65,2930,Uncontrolled,10,4,High,Not Available,No
Lake Bistineau,LA00002,Local Government,Local Government,0,Recreation,32.3286,-93.4328,Louisiana,9,Yes,No,No,Earth,Earth,Earth,Soil,46,23,27,46,25-50 feet,7635,310000,1941,1940-1949,318000,318000,105000,17200,1410,128400,Uncontrolled,1200,1,High,Fair,No
Mississippi River Lock and Dam 10,IA04014,Federal,Federal,0,Navigation,42.78579686,-91.09342942,Iowa,1,No,Yes,,Concrete,Concrete;Earth,Earth,Soil,20,33,43,43,25-50 feet,6788,356500,1937,1930-1939,212000,212000,155000,17070,79370,308000,Controlled,5582,5,Significant,Not Available,N/A
Dd No 1-23b,KS00091,Local Government,Local Government,0,Flood Risk Reduction,38.30238904,-99.38156713,Kansas,7,Yes,No,No,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,26,25,26,26,25-50 feet,2960,108850,,Undetermined,1611.26,1611.26,43,17003,7.37,4728,Uncontrolled,250,,Low,,No
Kaw Dam,OK20509,Federal,Federal,0,Flood Risk Reduction,36.69882,-96.91958875,Oklahoma,,No,Yes,,Gravity,Gravity;Earth,Earth,Rock;Soil,125,120,125,125,Greater than 100 feet,9466,8560000,1976,1970-1979,1327160,1327160,406540,16750,6652,616200,Controlled,400,5,High,Not Available,Yes
Santa Rosa Dam,NM00158,Federal,Federal,0,Flood Risk Reduction,35.028332,-104.6883,New Mexico,8,No,Yes,,Rockfill,Rockfill;Earth,Earth,Rock,214,208,214,214,Greater than 100 feet,1900,0,1979,1970-1979,717000,717000,200000,16670,2434,353000,Uncontrolled,1050,5,High,Not Available,Yes
Lake Kemp Dam,TX04358,Local Government,Local Government,0,Flood Risk Reduction,33.75989,-99.15094,Texas,,Yes,No,No,Earth,Earth,Earth,Rock;Soil,115,110,115,115,Greater than 100 feet,8890,0,1923,1920-1929,1078000,1078000,298900,16540,2086,1,Uncontrolled,3000,,High,Satisfactory,No
Sanford Dam,TX00023,Federal,Federal,0,Recreation,35.7142,-101.5525,Texas,65,No,Yes,No,Earth,Earth,,,228,152,228,228,Greater than 100 feet,6380,15398000,1965,1960-1969,2385983,2385983,945400,16513,7895,19300,Uncontrolled,61,4,High,Not Available,No
Bois D Arc Lake Dam,TX07507,Local Government,Local Government,,,33.71167,-95.971647,Texas,,Yes,No,No,Earth,Earth,,,90,90,90,90,51-100 feet,11200,0,2023,Since 2000,765340,765340,367600,16500,327,2,Uncontrolled,1560,1,High,Satisfactory,No
Palisades Dam,ID00273,Federal,Federal,0,Flood Risk Reduction,43.3328,-111.2017,Idaho,1,Yes,Yes,No,Earth,Earth,,,270,250,270,270,Greater than 100 feet,2100,13571000,1957,1950-1959,1417810,1417810,1401000,16230,5137.01,47000,Controlled,40,4,High,Not Available,No
Oroville,CA00035,State,State,3,Flood Risk Reduction,39.5364,-121.4834,California,3,Yes,Yes,No,Earth,Earth;Rockfill,Earth,Rock,770,748,770,770,Greater than 100 feet,6920,80000000,1968,1960-1969,3540000,3540000,3540000,15800,3611,227000,Controlled,140,1,High,Fair,No
Wilson Dam,AL07702,Federal,Federal,0,Flood Risk Reduction,34.799968,-87.625514,Alabama,1,No,Yes,No,Concrete,Concrete;Gravity,Concrete,Rock,113,103,137,137,Greater than 100 feet,4541,1328800,1924,1920-1929,674220,674220,636543,15600,30750,893000,Controlled,1862,2,High,Not Available,No
Tellico Dam,TN10506,Federal,Federal,3,Flood Risk Reduction,35.777948,-84.259703,Tennessee,1,No,Yes,No,Concrete,Concrete;Earth;Gravity,Earth,Rock;Soil,95,96,129,129,Greater than 100 feet,3238,258000,1979,1970-1979,513597,513597,392634,15600,2627,159000,Controlled,120,2,High,Not Available,No
Bayou Darbonne Dam and Reservoir,LA00015,Local Government,Local Government,0,Water Supply,32.71231,-92.34083,Louisiana,6,Yes,No,No,Earth,Earth,Earth,Soil,54,51,54,54,51-100 feet,2450,320000,1961,1960-1969,240000,240000,130000,15250,1585,93500,Uncontrolled,799,1,High,Fair,No
Robert Lee Dam,TX03517,Local Government,Local Government,0,Water Supply,31.896285,-100.516128,Texas,1,Yes,No,No,Earth,Earth,Earth,Soil,140,139,140,140,Greater than 100 feet,18300,41082000,1969,1960-1969,1139200,1139200,517272,15100,4140,607000,,3228,5,High,Fair,No
Lahontan Dam,NV10123,Federal,Federal,1,Flood Risk Reduction,39.4622,-119.0667,Nevada,15,No,Yes,No,Earth,Earth,,,120,120,162,162,Greater than 100 feet,1915,733000,1915,1910-1919,422800,422800,317200,15000,1903,17000,Uncontrolled,400,4,High,Not Available,No
Hubbard Creek Dam,TX03639,Local Government,Local Government,0,Water Supply,32.830915,-98.966707,Texas,5,Yes,No,No,Earth,Earth,Earth,Rock;Soil,112,109,112,112,Greater than 100 feet,15150,0,1962,1960-1969,829983,829983,324983,14922,1133,485200,,6156,5,High,Not Rated,No
Town Bluff Dam,TX00015,Federal,Federal,0,Other,30.79991645,-94.1730835,Texas,,No,Yes,,Earth,Earth,Earth,Soil,43,43,45,45,25-50 feet,6698,352800,1951,1950-1959,218200,218200,67000,14700,7573,80000,Uncontrolled,6100,5,High,Not Available,Yes
Wanapum,WA00085,Public Utility,Public Utility,1,Hydroelectric,46.873404,-119.97119,Washington,76,No,Yes,No,Gravity,Gravity;Concrete;Rockfill,Earth,Soil,93,80,206,206,Greater than 100 feet,8639,5795000,1965,1960-1969,796000,796000,590000,14590,95000,1400000,Controlled,832,1,High,Fair,No
Caballo Dam,NM00131,Federal,Federal,0,Flood Risk Reduction,32.8962,-107.293,New Mexico,20,No,Yes,No,Rockfill,Rockfill;Earth,,,96,78,110,110,Greater than 100 feet,4558,1243600,1937,1930-1939,379210,379210,231510,14530,27832.83,28000,Controlled,100,4,High,Not Available,No
Lake Arrowhead Dam,TX02883,Local Government,Local Government,0,Water Supply,33.764167,-98.37011,Texas,10,Yes,No,No,Earth,Earth,Earth,Soil,62,62,62,62,51-100 feet,15900,0,1966,1960-1969,685000,685000,230359,14500,832,270700,Uncontrolled,1581,5,High,Fair,No
Bergland Dam,MI00028,Private,Private,0,Other,46.58666667,-89.54166667,Michigan,45,Yes,No,No,Other,Other,,,8,8,8,8,Less than 25 feet,179,0,1906,1900-1909,276000,276000,35200,14080,17,10000,Uncontrolled,179,5,Low,Not Rated,No
Fort Loudoun Dam,TN10501,Federal,Federal,1,Flood Risk Reduction,35.79149,-84.242772,Tennessee,1,No,Yes,No,Concrete,Concrete;Earth;Gravity,Earth,Rock;Soil,87,98,125,125,Greater than 100 feet,4190,4180700,1943,1940-1949,475920,475920,362889,14000,9550,495000,Controlled,560,2,High,Not Available,No
B. Everett Jordan Dam,NC00173,Federal,Federal,2,Flood Risk Reduction,35.65458882,-79.067,North Carolina,3,No,Yes,,Earth,Earth,Earth,,114,108,113,114,Greater than 100 feet,1330,1144825,1974,1970-1979,1646560,1646560,215130,13940,1690,259000,Uncontrolled,800,5,High,Not Available,Yes
Owyhee Dam,OR00582,Federal,Federal,0,Irrigation,43.642,-117.2427,Oregon,26,No,Yes,No,Concrete,Concrete;Arch,,,417,330,417,417,Greater than 100 feet,833,537500,1931,1930-1939,1120000,1120000,1120000,13900,10382.86,30000,Controlled,189,4,High,Not Available,No
Black Lake Bayou Reservoir,LA00386,Local Government,Local Government,0,Recreation,31.85539,-92.95249,Louisiana,11,Yes,No,No,Earth,Earth,Earth,Soil,37,23,44,44,25-50 feet,2380,8250,1990,1990-1999,320000,320000,109000,13800,920,50035,Uncontrolled,350,1,High,Fair,No
Sardis Dam,OK22199,Federal,Federal,0,Flood Risk Reduction,34.62833,-95.349998,Oklahoma,,No,Yes,,Earth,Earth,Earth,Rock;Soil,83,77,83,83,51-100 feet,14138,7300000,1982,1980-1989,735830,735830,274330,13610,275,29400,Uncontrolled,215,5,High,Not Available,Yes
Harlan County Dam,NE01066,Federal,Federal,0,Flood Risk Reduction,40.06876185,-99.21125081,Nebraska,,Yes,Yes,,Gravity,Gravity;Concrete;Earth,Earth,Rock;Soil,107,105,107,107,Greater than 100 feet,11827,13400000,1952,1950-1959,825700,825700,327600,13600,7636,485000,Controlled,856,5,High,Not Available,Yes
Mcgee Creek Dike,OK22194,Federal,Federal,0,Water Supply,34.334,-95.9153,Oklahoma,1,No,Yes,No,Gravity,Gravity,,,64,64,64,64,51-100 feet,4757,1017800,1988,1980-1989,290661,290661,113350,13524,178,47300,Uncontrolled,722,4,High,Not Available,No
Mcgee Creek Dam,OK22194,Federal,Federal,0,,34.314,-95.8752,Oklahoma,0,No,Yes,No,Earth,Earth,,,161,134,161,161,Greater than 100 feet,1998,1017820,1987,1980-1989,290661,290661,113350,13524,182,47322,Uncontrolled,722,4,High,Not Available,No
Glen Elder Dam,KS00021,Federal,Federal,2,Flood Risk Reduction,39.4964,-98.3156,Kansas,1,No,Yes,No,Earth,Earth,,,142,108,142,142,Greater than 100 feet,15275,10025760,1968,1960-1969,1107489,1107489,241460,13500,5076.74,263000,Controlled,600,4,High,Not Available,No
Mississippi River Lock and Dam 7,MN00587,Federal,Federal,0,Navigation,43.86680711,-91.30745229,Minnesota,2,No,Yes,,Concrete,Concrete;Earth,Earth,Soil,16,25,41,41,25-50 feet,10860,581200,1937,1930-1939,105000,105000,48000,13440,62340,273000,Controlled,1610,5,Significant,Not Available,N/A
Hugo Dam,OK10300,Federal,Federal,0,Flood Risk Reduction,34.01043371,-95.38156891,Oklahoma,,No,Yes,,Gravity,Gravity;Earth,Earth,Rock;Soil,101,94,101,101,Greater than 100 feet,10200,2655000,1974,1970-1979,1274107,1274107,158617,13144,1434,365000,Controlled,300,5,High,Not Available,Yes
Foss Dam,OK02503,Federal,Federal,0,Flood Risk Reduction,35.5472,-99.1837,Oklahoma,14,No,Yes,No,Earth,Earth,,,142,128,139,142,Greater than 100 feet,18130,10537000,1961,1960-1969,816900,816900,168732,13141,1473,3150,Uncontrolled,4,4,High,Not Available,No
Lake Anna Dam and Reservoir                                      ,VA177002,Not Listed,Not Listed,6,Hydroelectric,38.0127,-77.7134,Virginia,15,No,Yes,No,Earth,Earth,Earth,Rock,90,94,100,100,51-100 feet,5150,900000,1972,1970-1979,487000,487000,305000,13000,343,142000,Controlled,140,1,High,Satisfactory,No
Mississippi River Lock and Dam 24,MO10300,Federal,Federal,0,Navigation,39.379047,-90.901085,Missouri,1,No,Yes,,Concrete,Concrete;Other;Gravity,Metal,Rock;Soil,55,32,76,76,51-100 feet,4584,0,1940,1940-1949,125363,125363,125363,13000,140900,364000,Controlled,1200,5,Significant,Not Available,N/A
Don Pedro Main,CA00281,Public Utility,Public Utility,4,Hydroelectric,37.7007,-120.4221,California,4,Yes,Yes,No,Earth,Earth;Rockfill,,Rock,585,560,585,585,Greater than 100 feet,1900,16400000,1971,1970-1979,2300000,2300000,2030000,13000,1540,609000,Controlled,1130,1,High,Satisfactory,No
"Pokegama Dam - Dikes 1, 2 and 3",MN00584,Federal,Federal,0,Recreation,47.142,-93.4701,Minnesota,,No,Yes,,Earth,Earth,,,17,15,15,17,Less than 25 feet,385,3700,1884,Before 1900,120000,120000,82000,13000,660,6000,,108,5,Significant,Not Available,N/A
Pokegama Dam,MN00584,Federal,Federal,2,Recreation,47.2509,-93.5877,Minnesota,2,No,Yes,,Concrete,Concrete;Timber Crib;Earth,Earth,Rock,17,15,15,17,Less than 25 feet,385,3700,1884,Before 1900,120000,120000,82000,13000,660,6000,,108,5,Significant,Not Available,Yes
Pokegama Dam - Dikes 4 and 5,MN00584,Federal,Federal,0,Recreation,47.22462528,-93.57835898,Minnesota,,No,Yes,,Concrete,Concrete,,,17,15,15,17,Less than 25 feet,385,3700,1884,Before 1900,120000,120000,82000,13000,660,6000,Controlled,108,5,Significant,Not Available,N/A
